testFlag,electionDate,statePostal,countyNumber,FIPSCode,boroughName,assemblyDistrict,electionDistrict,raceNumber,officeID,raceTypeID,searNumber,officeName,seatName,raceTypeParty,raceType,officeDescription,numberOfWinners,numberInRunoff,precinctsReporting,totalPrecincts,candidateNumber,order,party,firstName,middleName,lastName,junior,useJunior,incumbent,voteCount,winner,politicianID,candidateNumber,order,party,firstName,middleName,lastName,junior,useJunior,incumbent,voteCount,winner,politicianID
l,9/13/18,NY,23124,0,Queens,AD23,ED24,36376,G,D,0,Governor,,Dem,Primary,,1,0,1,1,81252,1,Dem,Cynthia,,Nixon,,0,0,24,,67748,80742,2,Dem,Andrew,,Cuomo,,0,1,169,X,1506
l,9/13/18,NY,23125,0,Queens,AD23,ED25,36376,G,D,0,Governor,,Dem,Primary,,1,0,1,1,81252,1,Dem,Cynthia,,Nixon,,0,0,19,,67748,80742,2,Dem,Andrew,,Cuomo,,0,1,108,X,1506
l,9/13/18,NY,23126,0,Queens,AD23,ED26,36376,G,D,0,Governor,,Dem,Primary,,1,0,1,1,81252,1,Dem,Cynthia,,Nixon,,0,0,7,,67748,80742,2,Dem,Andrew,,Cuomo,,0,1,44,X,1506
l,9/13/18,NY,23127,0,Queens,AD23,ED27,36376,G,D,0,Governor,,Dem,Primary,,1,0,1,1,81252,1,Dem,Cynthia,,Nixon,,0,0,12,,67748,80742,2,Dem,Andrew,,Cuomo,,0,1,50,X,1506
l,9/13/18,NY,23128,0,Queens,AD23,ED28,36376,G,D,0,Governor,,Dem,Primary,,1,0,1,1,81252,1,Dem,Cynthia,,Nixon,,0,0,14,,67748,80742,2,Dem,Andrew,,Cuomo,,0,1,54,X,1506
l,9/13/18,NY,23129,0,Queens,AD23,ED29,36376,G,D,0,Governor,,Dem,Primary,,1,0,1,1,81252,1,Dem,Cynthia,,Nixon,,0,0,23,,67748,80742,2,Dem,Andrew,,Cuomo,,0,1,121,X,1506
l,9/13/18,NY,23130,0,Queens,AD23,ED30,36376,G,D,0,Governor,,Dem,Primary,,1,0,1,1,81252,1,Dem,Cynthia,,Nixon,,0,0,10,,67748,80742,2,Dem,Andrew,,Cuomo,,0,1,93,X,1506
l,9/13/18,NY,23131,0,Queens,AD23,ED31,36376,G,D,0,Governor,,Dem,Primary,,1,0,1,1,81252,1,Dem,Cynthia,,Nixon,,0,0,17,,67748,80742,2,Dem,Andrew,,Cuomo,,0,1,162,X,1506
l,9/13/18,NY,23132,0,Queens,AD23,ED32,36376,G,D,0,Governor,,Dem,Primary,,1,0,1,1,81252,1,Dem,Cynthia,,Nixon,,0,0,19,,67748,80742,2,Dem,Andrew,,Cuomo,,0,1,135,X,1506
l,9/13/18,NY,23133,0,Queens,AD23,ED33,36376,G,D,0,Governor,,Dem,Primary,,1,0,1,1,81252,1,Dem,Cynthia,,Nixon,,0,0,35,,67748,80742,2,Dem,Andrew,,Cuomo,,0,1,137,X,1506
